"","V1","V2","V3","V4","V5","V6"
"mfull_bic","40866.56","40352.16","40353.67","40417.47","40572.73","40767.01"
"m1_bic","38741.69","38219.09","38195.22","38238.82","38369.02","38535.26"
"m2_bic","27823.99","27268.80","27266.12","27360.42","27493.53","27630.95"
"m3_bic","21378.96","20835.10","20866.97","20938.73","21070.25","21179.01"
"mfull_aic","40681.46","39976.17","39786.80","39659.70","39624.08","39627.47"
"m1_aic","38579.73","37889.37","37697.76","37573.61","37536.06","37534.54"
"m2_aic","27696.73","27008.50","26872.78","26834.03","26834.10","26838.48"
"m3_aic","21274.84","20621.07","20543.04","20504.89","20526.51","20525.36"
"mfull_small","2403 (100%)","808 (34%)","695 (29%)","231 (10%)","184 (8%)","158 (7%)"
"m1_small","2403 (100%)","756 (31%)","592 (25%)","229 (10%)","190 (8%)","86 (4%)"
"m2_small","2403 (100%)","763 (32%)","244 (10%)","215 (9%)","70 (3%)","86 (4%)"
"m3_small","2403 (100%)","879 (37%)","444 (18%)","319 (13%)","106 (4%)","251 (10%)"
"mfull_postprob","1.00","0.87","0.81","0.78","0.74","0.73"
"m1_postprob","1.00","0.88","0.83","0.77","0.74","0.71"
"m2_postprob","1.00","0.88","0.80","0.77","0.73","0.69"
"m3_postprob","1.00","0.86","0.81","0.71","0.72","0.67"
"mfull_entr",NA,"0.55","0.57","0.58","0.58","0.59"
"m1_entr",NA,"0.56","0.61","0.57","0.57","0.55"
"m2_entr",NA,"0.55","0.53","0.54","0.53","0.51"
"m3_entr",NA,"0.53","0.57","0.49","0.53","0.51"
