"","round","var","med","mean","hi95","hi975","hi99","n100"
"1","r1","home_orig",1,2.20474406991261,6,10,13.98,2
"2","r1","other_orig",0,2.71077819392426,11,19,35,4
"3","r1","school_orig",0,0.188098210570121,0,0,5,0
"4","r1","work_orig",0,5.60715771951727,23,45,89.96,21
"5","r2","home_orig",1,2.60840615896796,7,10,22.98,1
"6","r2","other_orig",0,4.10362047440699,12,21,47.98,7
"7","r2","school_orig",0,0.737827715355805,0,0,6.98000000000002,2
"8","r2","work_orig",0,6.71452351227632,26.9000000000001,49.8999999999996,116.92,28
"9","r3","home_orig",1,2.53724511027882,7,10,19.98,1
"10","r3","other_orig",1,5.77777777777778,18,29.8999999999996,66.9200000000001,12
"11","r3","school_orig",0,0.294631710362047,0,0,4,1
"12","r3","work_orig",0,3763986.09821057,30,54.9499999999998,119.9,30
"13","r4","home_orig",1,2.89055347482314,8,10,22.96,5
"14","r4","other_orig",0,8.78027465667915,20,34,73.96,17
"15","r4","school_orig",0,1.83978360382855,0,5,23.98,6
"16","r4","work_orig",0,9.44985434873075,42.9000000000001,77,142.98,43
