"","var","val","n","r1","r2","r3","r4"
"1","GENDER_I","Female","1496 (62%)","2.8 (2.3-3.2)","3.1 (2.5-3.6)","4.6 (3.8-5.3)","4.7 (4-5.4)"
"2","GENDER_I","Male","907 (38%)","2.5 (2.1-2.8)","3 (2.4-3.6)","4.4 (3.7-5.1)","4.9 (4-5.8)"
"3","RACE_ETHNICITY_I","1_Hisp","276 (11%)","2.4 (1.5-3.2)","2.6 (1.7-3.5)","3.6 (2.3-4.9)","3.7 (2.2-5.2)"
"4","RACE_ETHNICITY_I","2_NH-White","1657 (69%)","2.5 (2.2-2.9)","2.8 (2.4-3.2)","4.8 (4.1-5.5)","5.1 (4.4-5.7)"
"5","RACE_ETHNICITY_I","3_NH-Black","302 (13%)","3.5 (2.1-4.9)","4.2 (2.3-6.1)","4.1 (2.6-5.7)","5.4 (3.3-7.5)"
"6","RACE_ETHNICITY_I","4_NH-Asian","126 (5%)","2.7 (1.5-3.9)","3 (1.6-4.5)","3 (2-3.9)","2.9 (1.7-4.1)"
"7","RACE_ETHNICITY_I","5_NH-Other","42 (2%)","2.5 (1-4)","5.5 (0.2-10.7)","7.4 (1.5-13.2)","3.5 (1.6-5.3)"
"8","age_cat1","18-24","111 (5%)","3.9 (2.2-5.5)","3.7 (1.9-5.5)","4.9 (1.5-8.3)","2.8 (1.7-4)"
"9","age_cat1","25-34","345 (14%)","2.5 (1.8-3.2)","2.4 (1.7-3)","4.1 (2.6-5.6)","3.4 (2.1-4.7)"
"10","age_cat1","35-44","407 (17%)","3.6 (2.3-4.8)","3.7 (2.5-4.9)","4.1 (3.1-5.1)","5.2 (3.6-6.9)"
"11","age_cat1","45-54","417 (17%)","2.6 (2-3.3)","2.9 (1.9-3.8)","4.3 (3.1-5.5)","4 (3-5)"
"12","age_cat1","55-64","502 (21%)","2.5 (2-3)","2.7 (2-3.4)","5.1 (3.7-6.6)","5 (3.7-6.3)"
"13","age_cat1","65+","621 (26%)","2 (1.6-2.5)","3.2 (2.4-4.1)","4.6 (3.6-5.5)","6.1 (5-7.2)"
"14","comorb_cat","No","1151 (48%)","2.7 (2.3-3.2)","3 (2.4-3.5)","4.4 (3.6-5.2)","4.8 (3.9-5.6)"
"15","comorb_cat","Yes","1252 (52%)","2.6 (2.1-3)","3.1 (2.5-3.7)","4.6 (3.8-5.4)","4.9 (4.1-5.6)"
"16","emp_cat","Emp,in home","472 (20%)","2.9 (2-3.8)","2.7 (1.9-3.6)","3.6 (2.7-4.5)","4.5 (3-5.9)"
"17","emp_cat","Emp,out home","950 (40%)","2.9 (2.4-3.4)","2.8 (2.3-3.3)","4.6 (3.7-5.6)","4.7 (3.8-5.5)"
"18","emp_cat","Unemp","891 (37%)","2.3 (1.9-2.7)","3.4 (2.6-4.1)","4.8 (3.9-5.7)","5.1 (4.3-5.8)"
"19","emp_cat",NA,"90 (4%)","2.9 (1.6-4.3)","4.2 (1.5-6.8)","4.9 (2.1-7.7)","6 (2.4-9.7)"
"20","hh_cat","1","638 (27%)","2.6 (2.1-3.1)","3.1 (2.5-3.8)","4.1 (3.2-4.9)","4.1 (3.3-4.9)"
"21","hh_cat","2-4","1619 (67%)","2.7 (2.3-3.1)","2.9 (2.4-3.4)","4.7 (4-5.4)","5 (4.3-5.7)"
"22","hh_cat","5+","146 (6%)","2.8 (1.3-4.2)","3.9 (2-5.7)","4.5 (1.6-7.3)","6.1 (3-9.2)"
"23","lca4_full","High","208 (9%)","5.4 (3.4-7.3)","6.9 (4.5-9.3)","8.4 (5.5-11.3)","10.4 (6.6-14.2)"
"24","lca4_full","Low","498 (21%)","2.7 (2-3.4)","2.8 (2-3.5)","4.5 (3-5.9)","4.6 (3.4-5.8)"
"25","lca4_full","Med-high","841 (35%)","3.5 (2.9-4)","3 (2.5-3.5)","4.3 (3.7-4.9)","4.8 (4.1-5.6)"
"26","lca4_full","Med-low","856 (36%)","1.2 (0.9-1.4)","2.3 (1.6-2.9)","3.8 (2.9-4.6)","3.6 (2.9-4.3)"
"27","pol_cat","Dem","996 (41%)","2.5 (2-3.1)","2.7 (2.1-3.2)","3.9 (3.2-4.7)","3.8 (3.1-4.5)"
"28","pol_cat","Ind","445 (19%)","2.7 (2-3.4)","2.7 (2-3.4)","4.7 (3.3-6.1)","4.9 (3.7-6)"
"29","pol_cat","Rep","378 (16%)","3.1 (2.1-4)","3.4 (2.4-4.3)","6.2 (4.5-7.9)","6.7 (4.9-8.4)"
"30","pol_cat",NA,"584 (24%)","2.5 (2-3)","3.7 (2.6-4.8)","4.3 (3.3-5.3)","5.3 (4.1-6.5)"
