"","round","lca4_full","tot","prop_Increased greatly","prop_Increased slightly","prop_No change","prop_Decreased slightly","prop_Decreased greatly","prop_NA","n_Increased greatly","n_Increased slightly","n_No change","n_Decreased slightly","n_Decreased greatly","n_NA"
"1","r2","High",208,0.01,0.25,0.62,0,0.02,0.09,3,53,128,1,4,19
"2","r2","Med-high",841,0.06,0.51,0.37,0,0,0.04,52,432,313,3,4,37
"3","r2","Med-low",856,0.11,0.56,0.28,0.01,0,0.04,96,480,240,7,1,32
"4","r2","Low",498,0.14,0.45,0.33,0.01,0,0.07,68,226,165,3,2,34
"5","r3","High",208,0.07,0.34,0.55,0.01,0.02,0,14,70,115,3,5,1
"6","r3","Med-high",841,0.15,0.59,0.23,0.02,0.02,0,122,493,196,15,14,1
"7","r3","Med-low",856,0.23,0.57,0.17,0.01,0.01,0,201,489,142,12,11,1
"8","r3","Low",498,0.23,0.49,0.24,0.01,0.01,0,116,245,122,7,7,1
"9","r4","High",208,0,0.08,0.66,0.09,0.16,0,1,16,138,19,34,0
"10","r4","Med-high",841,0.02,0.24,0.53,0.12,0.08,0,19,204,446,100,71,1
"11","r4","Med-low",856,0.06,0.34,0.47,0.08,0.05,0,49,287,403,71,43,3
"12","r4","Low",498,0.06,0.3,0.5,0.08,0.06,0,31,147,247,41,31,1
